,Unnamed: 0,Unnamed: 0.1,batch_size,end_epsilon,gamma,index,lr,max_capacity,other_scores,radius,score,start_epsilon,train_on_terminal_states
56,56.0,,40,0.09,0.11,56,0.01,1000,[0.2076 0.1988],2,-0.1502,0.451,1
57,57.0,,32,0.07,0.41,57,0.16000000000000006,3000,[0.257 0.26 ],5,-0.4884000000000001,0.001,0
58,58.0,,48,0.06,0.81,58,0.16000000000000006,2000,[0.2164 0.2542],2,-0.2862,0.451,0
59,59.0,,40,0.09,0.31000000000000005,59,0.16000000000000006,1000,[0.2514 0.2504],2,-0.434,0.15100000000000002,0
60,60.0,,48,0.07,0.21,60,0.06000000000000001,2000,[0.2486 0.2318],4,-0.376,0.451,1
61,61.0,,56,0.01,0.31000000000000005,61,0.16000000000000006,1000,[0.2448 0.2588],2,-0.3252,0.35100000000000003,1
62,62.0,,48,0.03,0.7100000000000001,62,0.16000000000000006,1000,[0.2552 0.2798],4,-0.4544,0.35100000000000003,1
63,63.0,,32,0.08,0.11,63,0.01,1000,[0.232 0.239],3,-0.1356,0.001,0
64,64.0,,40,0.07,0.91,64,0.16000000000000006,3000,[0.255 0.237],4,-0.4254,0.30100000000000005,0
65,65.0,,56,0.05,0.01,65,0.06000000000000001,2000,[0.2618 0.3   ],4,-0.4216,0.10099999999999999,1
66,66.0,,40,0.08,0.41,66,0.01,3000,[0.2242 0.211 ],3,-0.21,0.401,1
67,67.0,,16,0.04,0.91,67,0.06000000000000001,2000,[0.254  0.2258],5,-0.501,0.051,1
68,68.0,,16,0.09,0.7100000000000001,68,0.11,4000,[0.2514 0.2514],6,-0.47600000000000003,0.251,1
69,69.0,,16,0.02,0.31000000000000005,69,0.11,4000,[0.2142 0.2356],2,-0.35079999999999995,0.10099999999999999,1
70,70.0,,32,0.08,0.51,70,0.06000000000000001,1000,[0.307  0.2854],6,-0.4686,0.001,0
71,71.0,,56,0.0,0.51,71,0.01,1000,[0.2242 0.2186],4,-0.2504,0.10099999999999999,0
72,72.0,,56,0.01,0.51,72,0.01,3000,[0.224  0.1922],4,-0.2164,0.30100000000000005,1
73,73.0,,48,0.05,0.91,73,0.06000000000000001,2000,[0.2576 0.2312],4,-0.4126,0.001,0
74,74.0,,56,0.02,0.41,74,0.16000000000000006,4000,[0.2498 0.3012],4,-0.4968,0.10099999999999999,0
75,,,48,0.07,0.51,75,0.01,4000,[0.2256 0.203 ],4,-0.2068,0.401,1
76,,,48,0.09,0.91,76,0.01,4000,[0.2086 0.2136],4,-0.1446,0.401,0
77,,,24,0.04,0.01,77,0.11,2000,[0.2804 0.2484],5,-0.45099999999999996,0.15100000000000002,1
78,,,24,0.08,0.11,78,0.01,4000,[0.2142 0.2388],2,-0.13699999999999998,0.15100000000000002,0
79,,,48,0.07,0.31000000000000005,79,0.11,1000,[0.2388 0.21  ],5,-0.2412,0.451,1
